patent_id	appyear
4503534	1982
4503535	1982
4505026	1983
4509144	1983
4514827	1983
4519050	1982
4519849	1983
4527180	1983
4530074	1984
4536947	1984
4543594	1985
4546472	1983
4547867	1983
4551910	1984
4570220	1983
4571709	1983
4573045	1983
4574250	1981
4577295	1983
4584492	1984
4584672	1984
4587138	1984
4599573	1985
4602314	1983
4613886	1985
4620986	1985
4621319	1982
4633223	1985
4633425	1985
4642798	1985
4645947	1985
4648804	1985
4649300	1985
4654958	1985
4658160	1985
4659094	1985
4664941	1984
4666555	1985
4668041	1986
4674089	1985
4675556	1986
4676699	1986
4680635	1986
4682396	1986
4685084	1985
4690728	1986
4694412	1985
4694425	1986
4696526	1985
4700328	1985
4700454	1985
4710647	1986
4713141	1986
4721548	1987
4722005	1986
4727309	1987
4727518	1984
4728243	1986
4728617	1986
4737926	1986
4755480	1986
4757026	1987
4757468	1987
4761647	1987
4766372	1987
4768170	1986
4771018	1987
4774201	1988
4775550	1986
4778775	1987
4780424	1987
4780709	1986
4780814	1987
4782439	1987
4783757	1985
4784965	1987
4785396	1988
4785423	1987
4785428	1987
4786612	1987
4788640	1986
4790661	1987
4790920	1987
4791326	1987
4792955	1986
4794278	1987
4796230	1987
4797852	1986
4797856	1987
4798918	1987
4803622	1987
4803659	1987
4803946	1987
4806202	1987
4807109	1987
4808259	1988
4808855	1987
4810671	1988
4811208	1986
4814286	1988
4816700	1987
4818711	1987
4819081	1987
4821096	1985
4821271	1987
4823260	1987
4823314	1987
4824496	1987
4824767	1987
4827344	1986
4829258	1987
4829425	1988
4833099	1988
4835458	1987
4837185	1988
4841482	1988
4843026	1987
4849661	1988
4850883	1987
4853846	1986
4853849	1986
4858186	1988
4859938	1987
4860195	1988
4860261	1989
4860322	1988
4868653	1987
4868992	1988
4870224	1988
4875188	1988
4875191	1988
4878200	1987
4878376	1988
4881194	1987
4885262	1989
4888503	1987
4891687	1989
4891753	1986
4898058	1987
4901270	1988
4903270	1988
4904881	1989
4905180	1988
4906865	1988
4912631	1987
4914318	1988
4917044	1989
4917613	1988
4918523	1987
4926387	1988
4928259	1988
4930097	1988
4930098	1988
4933206	1988
4937476	1990
4939692	1988
4939724	1988
4949140	1989
4949291	1988
4950917	1988
4956564	1989
4957877	1988
4958133	1989
4961002	1989
4961812	1988
4963825	1989
4964080	1990
4965752	1987
4966868	1989
4967196	1988
4972338	1988
4975163	1989
4975598	1988
4975605	1989
4975702	1990
4975831	1988
4975883	1990
4976002	1988
4980018	1989
4980019	1989
4980585	1989
4982400	1988
4983907	1989
4983958	1988
4985640	1990
4992980	1989
4994695	1989
4999525	1989
5006962	1989
5010508	1989
5018111	1988
5021684	1989
5023775	1990
5023844	1990
5027308	1989
5027311	1989
5027321	1989
5028810	1990
5031141	1990
5031142	1989
5034980	1990
5035062	1990
5035768	1990
5036230	1990
5036482	1989
5037778	1989
5039941	1990
5040134	1989
5041963	1988
5043938	1990
5045853	1988
5046046	1978
5047367	1990
5047922	1990
5047975	1987
5047989	1989
5048195	1990
5049515	1990
5049765	1990
5050066	1988
5050123	1990
5053944	1990
5053990	1988
5055897	1988
5057023	1990
5057715	1989
5063308	1990
5065364	1989
5073891	1990
5073969	1988
5075245	1991
5075842	1989
5075845	1989
5075848	1989
5075869	1990
5077230	1990
5077738	1991
5078801	1990
5079440	1990
5079630	1989
5081051	1990
5081698	1989
5087584	1990
5087826	1990
5088053	1987
5088066	1989
5091332	1990
5091763	1990
5097301	1990
5098863	1990
5101484	1989
5102814	1990
5102815	1991
5103274	1991
5103466	1990
5104819	1989
5104828	1990
5106772	1990
5107523	1990
5109187	1990
5111067	1991
5111077	1991
5111270	1990
5111362	1990
5113096	1991
5113150	1991
5115842	1990
5120671	1990
5122873	1991
5126029	1990
5127196	1991
5128895	1991
5131083	1989
5134478	1991
5134693	1989
5135402	1991
5136176	1991
5136177	1991
5136178	1991
5136539	1988
5136544	1990
5138188	1991
5139971	1991
5142495	1989
5142635	1989
5146565	1991
5146602	1990
5147813	1991
5148052	1991
5148381	1991
5155377	1992
5155816	1991
5157388	1991
5157777	1991
5159672	1989
5164330	1991
5165027	1991
5167760	1991
5168178	1991
5168926	1991
5169680	1992
5170073	1991
5171703	1991
5173872	1987
5175126	1990
5175669	1991
5175733	1990
5175751	1991
5175833	1990
5175853	1991
5177745	1990
5180988	1991
5182746	1991
5183795	1991
5185872	1990
5187392	1991
5187793	1989
5187865	1992
5189319	1991
5189636	1990
5190887	1991
5191649	1990
5194824	1992
5195051	1992
5196064	1991
5196361	1991
5197034	1991
5199001	1990
5201043	1992
5202291	1992
5202590	1991
5204828	1991
5204953	1989
5207586	1992
5210845	1990
5210939	1992
5212910	1991
5214567	1991
5216289	1991
5216385	1992
5216843	1992
5219791	1991
5220528	1990
5221867	1991
5222046	1990
5222193	1990
5222240	1990
5222244	1990
5224070	1991
5225904	1991
5226127	1991
5227657	1991
5228134	1991
5229311	1992
5229631	1992
5231053	1991
5232871	1992
5233559	1991
5233562	1991
5235533	1992
5235543	1992
5235549	1991
5237210	1992
5237535	1991
5239498	1992
5239505	1990
5239638	1989
5239639	1990
5241490	1992
5241628	1990
5241636	1990
5242864	1992
5243236	1991
5243447	1992
5243575	1992
5244843	1991
5245436	1992
5245570	1990
5245572	1991
5245574	1991
5246218	1992
5247206	1992
5247479	1991
5247577	1992
5247606	1992
5248900	1991
5249158	1991
5249278	1992
5253255	1990
5255230	1991
5255377	1992
5255378	1992
5256594	1989
5256911	1992
5256994	1992
5257162	1992
5257215	1992
5257216	1992
5257218	1993
5257221	1992
5257353	1992
5257381	1992
5258333	1992
5258943	1991
5260236	1992
5260889	1992
5261109	1993
5261989	1992
5262279	1992
5262855	1992
5262990	1991
5264734	1992
5264785	1992
5265053	1991
5265059	1991
5265180	1993
5265213	1990
5265227	1992
5266445	1991
5266886	1992
