patent_id	mainclass_id
5049765	326
5050066	714
5050123	365
5050123	257
5053944	711
5053944	714
5053990	711
5053990	365
5055897	257
5055897	365
5055897	706
5057023	439
5057715	326
5063308	326
5065364	365
5073891	714
5073969	710
5073969	711
5075245	438
5075245	148
5075245	257
5075842	711
5075845	711
5075848	711
5075869	706
5077230	438
5077230	148
5077230	257
5077738	714
5078801	134
5078801	148
5078801	15
5078801	257
5078801	438
5078801	451
5079440	327
5079630	375
5079630	386
5081051	451
5081051	438
5081698	345
5087584	438
5087584	148
5087584	257
5087826	706
5088053	345
5088053	375
5088053	386
5088066	365
5091332	438
5091332	257
5091763	257
5091763	438
5097301	257
5098863	29
5098863	156
5098863	228
5098863	257
5098863	438
5098863	439
5101484	712
5102814	438
5102814	257
5102815	438
5102815	257
5103274	257
5103466	375
5103466	327
5104819	438
5104819	257
5104828	438
5104828	148
5104828	257
5104828	451
5106772	438
5106772	257
5107523	377
5107523	327
5107523	714
5109187	365
5109187	323
5109187	327
5111067	327
5111077	326
5111270	365
5111270	257
5111362	361
5111362	220
5113096	326
5113150	330
5113150	327
5115842	141
5115842	222
5120671	438
5120671	257
5122873	375
5122873	382
5122873	386
5126029	204
5127196	451
5127196	257
5128895	365
5131083	710
5131083	711
5134478	375
5134478	386
5134693	712
5135402	439
5135402	174
5136176	706
5136176	708
5136177	706
5136177	708
5136178	706
5136178	708
5136539	708
5136544	365
5138188	327
5139971	438
5139971	257
5142495	365
5142495	714
5142635	712
5142635	711
5146565	710
5146565	711
5146602	706
5146602	257
5146602	708
5147813	438
5147813	148
5147813	257
5148052	327
5148381	708
5155377	706
5155377	327
5155816	712
5155816	708
5155816	711
5157388	345
5157388	708
5157777	711
5157777	712
5159672	711
5164330	438
5164330	257
5165027	711
5165027	714
5167760	438
5167760	204
5167760	257
5168178	326
5168178	327
5168926	165
5168926	257
5168926	361
5169680	438
5169680	257
5169680	427
5170073	327
5170073	326
5171703	438
5171703	148
5171703	257
5173872	365
5173872	711
5175126	438
5175126	257
5175669	361
5175669	29
5175669	439
5175733	370
5175751	377
5175751	327
5175751	714
5175833	711
5175833	340
5175853	710
5175853	714
5177745	714
5177745	365
5177745	711
5180988	330
5180988	327
5182746	370
5183795	438
5183795	148
5183795	257
5183795	427
5185872	712
5187392	326
5187793	712
5187793	711
5187865	29
5187865	361
5187865	439
5189319	326
5189319	327
5189636	708
5190887	438
5190887	257
5191649	709
5191649	710
5191649	711
5191649	714
5194824	330
5195051	708
5196064	118
5196064	239
5196361	438
5196361	257
5197034	365
5199001	365
5201043	714
5201043	711
5202291	438
5202291	148
5202291	216
5202291	257
5202590	327
5204828	708
5204828	712
5204953	711
5204953	712
5207586	439
5210845	711
5210845	365
5210939	29
5210939	228
5210939	257
5210939	438
5212910	451
5214567	361
5214567	G9B
5216289	327
5216289	326
5216385	330
5216385	327
5216843	451
5219791	438
5219791	216
5219791	257
5219791	430
5220528	365
5221867	326
5222046	365
5222193	706
5222240	712
5222244	712
5224070	365
5225904	375
5225904	348
5225904	386
5226127	712
5226127	703
5227657	257
5227657	361
5228134	711
5229311	438
5229311	257
5229631	257
5229631	365
5231053	438
5231053	257
5232871	438
5232871	257
