patent_id	inventor_id
4797856	4797856-2
4797856	4797856-3
4798918	7177142-1
4798918	7800459-2
4798918	6002591-5
4803622	4315310-3
4803622	4325120-3
4803622	4407016-1
4803622	4803622-1
4803622	4803622-4
4803622	4803622-6
4803622	4803622-7
4803622	4803622-9
4803659	4761647-1
4803946	4803946-1
4806202	6908227-2
4806202	4806202-1
4806202	4806202-3
4806202	4806202-4
4807109	4570220-1
4807109	4570220-2
4807109	4570220-4
4808259	5296094-2
4808259	4808259-1
4808259	4808259-3
4808855	4808855-1
4810671	4771018-1
4810671	4771018-2
4811208	4694425-1
4811208	4811208-1
4811208	5423014-1
4811208	4811208-4
4811208	4811208-5
4814286	6908227-2
4816700	4694425-1
4818711	4806202-1
4818711	4806202-4
4819081	7705620-3
4819081	4819081-2
4819081	4819081-3
4821096	4821096-1
4821271	5455924-2
4821271	4785428-3
4821271	4785428-4
4823260	4694425-1
4823260	4811208-1
4823260	4811208-4
4823260	5546538-1
4823260	5555392-2
4823314	4823314-1
4824496	4824496-1
4824496	4824496-2
4824767	4824767-1
4824767	4824767-2
4827344	3955353-1
4827344	4827344-1
4829258	7705620-3
4829258	4819081-2
4829258	4819081-3
4829425	4315310-3
4829425	4407016-1
4829425	4438494-1
4829425	4438494-5
4829425	4803622-7
4829425	4803622-9
4829425	4829425-1
4829425	4829425-7
4833099	4728617-2
4835458	4835458-1
4837185	3997367-1
4837185	4690728-3
4841482	5463757-4
4841482	4841482-2
4843026	6020834-1
4843026	4843026-2
4849661	4496861-1
4850883	7177142-1
4853846	4438494-2
4853846	4800532-4
4853846	4853846-3
4853846	4853846-4
4853846	4853846-5
4853846	4853846-6
4853849	4407016-1
4853849	4803622-7
4853849	4803622-9
4853849	4829425-7
4853849	4853849-3
4853849	4853849-5
4858186	4858186-1
4859938	4835458-1
4859938	4859938-1
4860195	4783757-1
4860261	5463757-4
4860261	4841482-2
4860322	4808855-1
4868653	3955353-1
4868653	5778207-1
4868653	4785349-2
4868653	4785349-3
4868992	4868992-1
4868992	4868992-2
4870224	4870224-1
4870224	4870224-2
4870224	4870224-3
4870224	5397746-1
4875188	4858186-1
4875191	4875191-1
4875191	4875191-2
4878200	4785423-1
4878200	4878200-2
4878376	4868992-1
4878376	5035062-2
4881194	7320105-2
4881194	4783698-1
4881194	5778207-1
4881194	4881194-1
4885262	4576834-1
4885262	4654958-3
4885262	4885262-2
4888503	4316106-2
4891687	4771018-1
4891687	4835120-2
4891753	4694425-1
4891753	5423014-1
4891753	4811208-4
4891753	4891753-1
4891753	4153933-1
4898058	4824496-2
4901270	4901270-1
4901270	4901270-2
4903270	4438494-2
4903270	4785428-4
4903270	4903270-3
4904881	7923237-1
4905180	4905180-1
4906865	4412310-4
4912631	4808855-1
4914318	5386155-2
4917044	4690728-3
4917044	3997367-1
4917613	7177142-1
4918523	3955353-1
4918523	5778207-1
4918523	4785349-2
4918523	4785349-3
4918523	4918523-4
4926387	4727518-1
4928259	4901270-2
4928259	4928259-1
4930097	4722005-1
4930097	5386155-2
4930098	5386155-2
4933206	4933206-1
4937476	4496861-1
4939692	6925558-1
4939724	4853846-5
4949140	6908227-2
4949291	5375212-1
4950917	4412310-4
4950917	6908227-2
4950917	7923237-1
4950917	4950917-4
4956564	4412310-4
4956564	6908227-2
4956564	7923237-1
4957877	6908227-2
4957877	4957877-2
4958133	4496861-1
4961002	4412310-4
4961002	6908227-2
4961002	7923237-1
4961812	4654958-2
4961812	5969517-1
4963825	4963825-1
4964080	4964080-1
4965752	5621674-1
4966868	4966868-1
4966868	4966868-2
4966868	4966868-3
4967196	7320105-2
4967196	5778207-1
4972338	4972338-1
4972338	4972338-2
4975163	4975163-1
4975598	5880945-1
4975605	4496861-1
4975702	4496861-1
4975831	4153933-1
4975831	4975831-2
4975883	4858186-1
4975883	5765184-1
4975883	4975883-3
4976002	4868992-1
4976002	4976002-2
4980018	4897154-2
4980018	4243937-2
4980019	4654958-2
4980019	5969517-1
4980585	4496861-1
4982400	4853846-5
4983907	4983907-1
4983958	4983958-1
4985640	6148433-1
4985640	6857051-2
4992980	4992980-1
4992980	4992980-2
4992980	4992980-3
4994695	4496861-1
4999525	4992980-1
4999525	4999525-1
5006962	7132313-2
5010508	4901270-1
5010508	4901270-2
5010508	5010508-1
5018111	4727518-1
5021684	5021684-1
5021684	4442529-2
5023775	4674089-2
5023844	4811208-5
5023844	5023844-1
5023844	5023844-3
5027308	4901270-1
5027308	4901270-2
5027308	5010508-1
5027311	5027311-1
5027321	4992980-1
5028810	4412310-4
5028810	7923237-1
5031141	4727518-1
5031141	6185703-2
5031142	7923237-1
5034980	4930879-3
5035062	4868992-1
5035062	5035062-2
5035768	4897154-2
5035768	4243937-2
5036230	4496861-1
5036482	5375212-1
5037778	5037778-1
5037778	5037778-2
5039941	7923237-1
5040134	4992980-1
5041963	5778407-1
5041963	4853846-5
5043938	4853846-5
5045853	3955353-1
5045853	4785349-3
5046046	5262990-4
5046046	5046046-2
5046046	5274278-3
5047367	4966868-2
5047367	4966868-3
5047367	5047367-1
5047922	5880945-1
5047975	4544911-2
5047975	4783698-1
5047975	5778207-1
5047975	4823201-2
5047989	4685084-1
5047989	5046046-2
5047989	5274278-3
5048195	4868992-1
5049515	4964080-1
5049765	4316106-2
5049765	5049765-2
5050066	4785428-4
5050066	4903270-3
5050123	7923237-1
5053944	4783757-1
5053990	5463757-4
5053990	4841482-2
5053990	5053990-1
5053990	5249158-1
5053990	5053990-3
5053990	4975883-3
5055897	4412310-4
5055897	4685084-1
5055897	6908227-2
5057023	7177142-1
5057023	6002591-5
5057023	5057023-1
5057715	5892377-2
5057715	5057715-2
5057715	5057715-3
5063308	5880945-1
5065364	4992980-3
5065364	5065364-1
5065364	5065364-2
5073891	5073891-1
5073969	5073969-1
5075245	4412310-4
5075245	4728617-2
5075842	4811208-4
5075845	5778407-1
5075845	4811208-4
5075848	5778407-1
5075848	4811208-4
5075869	4412310-4
5075869	6908227-2
5075869	7923237-1
5077230	4412310-4
5077230	4728617-2
5077738	5892377-2
5077738	5057715-2
5077738	5057715-3
5078801	5078801-1
5079440	7086452-1
5079440	6853967-1
5079630	3955353-1
5079630	5778207-1
5079630	4785349-2
5079630	4785349-3
5081051	4721548-1
5081051	5081051-1
5081051	5081051-2
5081698	4366536-1
5087584	4305760-1
5087584	4808259-3
5087826	4412310-4
5087826	6908227-2
5088053	7320105-2
5088053	5778207-1
5088053	5088053-3
5088066	7923237-1
5091332	4282648-3
5091332	5091332-1
5091332	5091332-3
5091763	5091763-1
5097301	5091763-1
5098863	4835120-2
5098863	5098863-2
5098863	5098863-3
5101484	4366536-1
5102814	4728617-2
5102815	5091763-1
5103274	4806202-4
5103274	5103274-2
5103466	4496861-1
5104819	3997367-1
5104819	6960784-2
5104819	5104819-3
5104819	5104819-4
5104828	4721548-1
5104828	5104828-2
5106772	4957877-2
5107523	5107523-1
5107523	5107523-2
5109187	5109187-1
5111067	4584672-2
5111067	5111067-2
5111077	4316106-2
5111077	5049765-2
5111270	4964080-1
5111362	6002591-5
5111362	5057023-1
5111362	5111362-3
5113096	4316106-2
5113096	5049765-2
5113096	5113096-3
5113150	5317202-1
5115842	4868992-1
5115842	4868992-2
5120671	4806202-4
5120671	5103274-2
5122873	4785349-3
5126029	5126029-1
5126029	5126029-2
5127196	4721548-1
5127196	5104828-2
5128895	4992980-1
5131083	4972338-1
5131083	6857051-2
5134478	4785349-3
5134693	5375212-1
5135402	5135402-1
5136176	7923237-1
5136177	7923237-1
5136178	7923237-1
5136539	4905180-1
5136544	5136544-1
5136544	5136544-2
5138188	4496861-1
5139971	4557797-2
5139971	5104819-3
5139971	5139971-2
5139971	6849896-2
5142495	4685084-1
5142635	5375212-1
5146565	5146565-1
5146565	5146565-2
5146602	4412310-4
5146602	6908227-2
5147813	4728617-2
5148052	5148052-1
5148381	7320105-2
5155377	7923237-1
5155816	4366536-1
5157388	4366536-1
5157777	5778407-1
5157777	4811208-4
5159672	5892377-2
5159672	5057715-3
5159672	5159672-1
5159672	5159672-2
5159672	5159672-3
5164330	5164330-1
5164330	5164330-2
5164330	5434093-6
5165027	4783757-1
5167760	4897154-2
5167760	4243937-2
5168178	4819081-3
5168178	5386155-2
5168178	5168178-3
5168926	7129590-1
5168926	6239979-1
5169680	4303798-1
5169680	4654958-3
5170073	5892377-2
5170073	5057715-3
5170073	5170073-2
5171703	4557797-2
5171703	6849896-2
5171703	5171703-2
5173872	4972338-1
5173872	4972338-2
5175126	4557797-2
5175126	5175126-1
5175669	5175669-1
5175669	5175669-2
5175733	4864511-3
5175751	5107523-1
5175751	5175751-1
5175833	5175833-1
5175833	5175833-2
5175853	5175853-1
5175853	6134636-2
5175853	5175853-3
5175853	8209480-2
